name,popularity,date_added,release_year,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_emotion
"Bandeya - From ""Dil Juunglee""",71,2020-12-24 19:12:08+00:00,2018,"['Shaarib Toshi', 'Arijit Singh']",0.465,0.551,7.0,-6.58,1.0,0.0362,0.619,6.03e-06,0.109,0.415,89.459,audio_features,6gwnKOvdBKkTU4CQ7KpIAu,spotify:track:6gwnKOvdBKkTU4CQ7KpIAu,https://api.spotify.com/v1/tracks/6gwnKOvdBKkTU4CQ7KpIAu,https://api.spotify.com/v1/audio-analysis/6gwnKOvdBKkTU4CQ7KpIAu,184666.0,4.0,sad
Tere Liye,65,2020-12-24 19:55:51+00:00,2004,"['Madan Mohan', 'Lata Mangeshkar', 'Roop Kumar Rathod', 'Javed Akhtar']",0.525,0.46,1.0,-8.594,0.0,0.0246,0.826,0.00202,0.139,0.33,98.007,audio_features,3i11e2jzUtO3jChiFl3v9x,spotify:track:3i11e2jzUtO3jChiFl3v9x,https://api.spotify.com/v1/tracks/3i11e2jzUtO3jChiFl3v9x,https://api.spotify.com/v1/audio-analysis/3i11e2jzUtO3jChiFl3v9x,331677.0,4.0,sad
Shayad,74,2020-12-28 16:08:25+00:00,2020,"['Pritam', 'Arijit Singh']",0.483,0.468,8.0,-7.642,1.0,0.0341,0.784,0.0,0.152,0.319,135.875,audio_features,1smFN2CLqGROu0J0UyvDfL,spotify:track:1smFN2CLqGROu0J0UyvDfL,https://api.spotify.com/v1/tracks/1smFN2CLqGROu0J0UyvDfL,https://api.spotify.com/v1/audio-analysis/1smFN2CLqGROu0J0UyvDfL,247941.0,4.0,sad
Shayad - Reprise,48,2020-12-30 01:01:10+00:00,2020,"['Pritam', 'Arijit Singh', 'Madhubanti Bagchi']",0.432,0.535,8.0,-7.34,1.0,0.032,0.904,0.000641,0.102,0.322,135.849,audio_features,2L2YNB3YIletW4fUtwphDv,spotify:track:2L2YNB3YIletW4fUtwphDv,https://api.spotify.com/v1/tracks/2L2YNB3YIletW4fUtwphDv,https://api.spotify.com/v1/audio-analysis/2L2YNB3YIletW4fUtwphDv,245735.0,4.0,sad
Dori Tutt Gaiyaan,0,2020-12-30 20:41:09+00:00,2020,['Rekha Bhardwaj'],0.397,0.427,10.0,-9.144,1.0,0.0497,0.925,0.0117,0.108,0.288,75.679,audio_features,77H2kEmaw3uiLgPozzIsqv,spotify:track:77H2kEmaw3uiLgPozzIsqv,https://api.spotify.com/v1/tracks/77H2kEmaw3uiLgPozzIsqv,https://api.spotify.com/v1/audio-analysis/77H2kEmaw3uiLgPozzIsqv,231211.0,4.0,sad
Sahiba,42,2020-12-30 20:45:23+00:00,2017,"['Romy', 'Pawni Pandey', 'Shashwat Sachdev']",0.653,0.563,4.0,-5.803,1.0,0.053,0.45,0.0,0.191,0.563,160.903,audio_features,3g5JKHCtMyjEXJY2ZotLoA,spotify:track:3g5JKHCtMyjEXJY2ZotLoA,https://api.spotify.com/v1/tracks/3g5JKHCtMyjEXJY2ZotLoA,https://api.spotify.com/v1/audio-analysis/3g5JKHCtMyjEXJY2ZotLoA,329375.0,4.0,sad
Humnava Mere,69,2021-01-12 19:50:49+00:00,2018,"['Jubin Nautiyal', 'Rocky - Shiv']",0.401,0.553,5.0,-8.263,0.0,0.0337,0.47,2.96e-06,0.124,0.364,79.144,audio_features,0loZn1c5heXie7OAtvK6nH,spotify:track:0loZn1c5heXie7OAtvK6nH,https://api.spotify.com/v1/tracks/0loZn1c5heXie7OAtvK6nH,https://api.spotify.com/v1/audio-analysis/0loZn1c5heXie7OAtvK6nH,328992.0,4.0,sad
Tere Bin Nahi Laage (Male Version),55,2021-01-12 19:54:18+00:00,2015,['Uzair Jaswal'],0.294,0.577,6.0,-5.952,1.0,0.0298,0.623,0.0,0.16,0.429,83.171,audio_features,3u947zydbp5jVgVNlaRgv4,spotify:track:3u947zydbp5jVgVNlaRgv4,https://api.spotify.com/v1/tracks/3u947zydbp5jVgVNlaRgv4,https://api.spotify.com/v1/audio-analysis/3u947zydbp5jVgVNlaRgv4,222397.0,4.0,sad
"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)",64,2021-01-12 19:58:11+00:00,2016,"['Mithoon', 'Arijit Singh', 'Sunidhi Chauhan']",0.523,0.557,7.0,-7.799,1.0,0.0293,0.813,0.000581,0.0958,0.196,111.766,audio_features,1awtp7rf6ajhGY9BgzCHeZ,spotify:track:1awtp7rf6ajhGY9BgzCHeZ,https://api.spotify.com/v1/tracks/1awtp7rf6ajhGY9BgzCHeZ,https://api.spotify.com/v1/audio-analysis/1awtp7rf6ajhGY9BgzCHeZ,374205.0,4.0,sad
"Humdard (From ""Ek Villain"")",70,2021-01-12 20:13:14+00:00,2020,['Arijit Singh'],0.575,0.541,5.0,-6.45,1.0,0.0237,0.759,0.0,0.111,0.27,87.022,audio_features,2PvaburAUlhNHxVhw5lvOq,spotify:track:2PvaburAUlhNHxVhw5lvOq,https://api.spotify.com/v1/tracks/2PvaburAUlhNHxVhw5lvOq,https://api.spotify.com/v1/audio-analysis/2PvaburAUlhNHxVhw5lvOq,260590.0,4.0,sad
"Tum Hi Aana (Duet Version) [From ""Marjaavaan""]",40,2021-01-28 03:23:41+00:00,2019,"['Payal Dev', 'Jubin Nautiyal', 'Dhvani Bhanushali', 'Kunaal Vermaa']",0.419,0.266,4.0,-12.62,0.0,0.0298,0.757,0.0,0.121,0.302,89.752,audio_features,5lzXJ97yP3Tc64MFgc8Mrs,spotify:track:5lzXJ97yP3Tc64MFgc8Mrs,https://api.spotify.com/v1/tracks/5lzXJ97yP3Tc64MFgc8Mrs,https://api.spotify.com/v1/audio-analysis/5lzXJ97yP3Tc64MFgc8Mrs,248551.0,4.0,sad
"Sapna Jahan (From ""Brothers"")",63,2021-02-03 23:21:21+00:00,2015,"['Ajay-Atul', 'Sonu Nigam', 'Neeti Mohan']",0.471,0.329,0.0,-11.958,0.0,0.0312,0.78,0.0021,0.117,0.144,126.107,audio_features,6uQkoo1UGWThtEpNEYc6Ga,spotify:track:6uQkoo1UGWThtEpNEYc6Ga,https://api.spotify.com/v1/tracks/6uQkoo1UGWThtEpNEYc6Ga,https://api.spotify.com/v1/audio-analysis/6uQkoo1UGWThtEpNEYc6Ga,341780.0,4.0,sad
Manchala,61,2021-02-03 23:47:47+00:00,2014,"['Vishal-Shekhar', 'Shafqat Amanat Ali', 'Nupur Pant']",0.365,0.649,11.0,-5.295,0.0,0.0408,0.151,0.0,0.121,0.453,78.398,audio_features,3zAXHUL5YcYOA41rruvjy4,spotify:track:3zAXHUL5YcYOA41rruvjy4,https://api.spotify.com/v1/tracks/3zAXHUL5YcYOA41rruvjy4,https://api.spotify.com/v1/audio-analysis/3zAXHUL5YcYOA41rruvjy4,227507.0,4.0,sad
,0,2021-02-04 00:01:11+00:00,0,[''],0.485,0.456,9.0,-6.544,1.0,0.0309,0.898,2.58e-05,0.0835,0.424,90.352,audio_features,5kl6FcnZv8jQDgNSWNyfpN,spotify:track:5kl6FcnZv8jQDgNSWNyfpN,https://api.spotify.com/v1/tracks/5kl6FcnZv8jQDgNSWNyfpN,https://api.spotify.com/v1/audio-analysis/5kl6FcnZv8jQDgNSWNyfpN,296377.0,4.0,sad
Shimla Tha Ghar,33,2021-02-04 02:51:31+00:00,2016,['Deepak Rathore Project'],0.577,0.665,11.0,-7.369,1.0,0.0558,0.559,0.0,0.147,0.614,170.176,audio_features,05W0vZJEJ5UQVFFYYfOXYN,spotify:track:05W0vZJEJ5UQVFFYYfOXYN,https://api.spotify.com/v1/tracks/05W0vZJEJ5UQVFFYYfOXYN,https://api.spotify.com/v1/audio-analysis/05W0vZJEJ5UQVFFYYfOXYN,280235.0,4.0,sad
Rahogi Meri,47,2021-02-07 16:28:54+00:00,2020,"['Pritam', 'Arijit Singh']",0.453,0.424,0.0,-7.413,1.0,0.0245,0.554,9.91e-05,0.0962,0.253,83.092,audio_features,2X72RoxsswQEfzOWYDSBWD,spotify:track:2X72RoxsswQEfzOWYDSBWD,https://api.spotify.com/v1/tracks/2X72RoxsswQEfzOWYDSBWD,https://api.spotify.com/v1/audio-analysis/2X72RoxsswQEfzOWYDSBWD,252382.0,4.0,sad
"Galliyan (Unplugged) [From ""Ek Villain""]",40,2021-02-08 21:44:10+00:00,2017,"['Shraddha Kapoor', 'Ankit Tiwari']",0.378,0.393,6.0,-7.495,1.0,0.0275,0.899,0.0,0.102,0.373,169.936,audio_features,5hhsS7RcsT09Gx1l1ocPqy,spotify:track:5hhsS7RcsT09Gx1l1ocPqy,https://api.spotify.com/v1/tracks/5hhsS7RcsT09Gx1l1ocPqy,https://api.spotify.com/v1/audio-analysis/5hhsS7RcsT09Gx1l1ocPqy,254750.0,4.0,sad
"Wafa Ne Bewafai (From ""Teraa Surroor"")",54,2021-02-11 22:55:25+00:00,2019,"['Arijit Singh', 'Neeti Mohan', ""Suzanne D'Mello""]",0.394,0.592,10.0,-6.398,1.0,0.203,0.847,0.0,0.125,0.401,81.098,audio_features,0KCELNf5it4kL3LGwR80cj,spotify:track:0KCELNf5it4kL3LGwR80cj,https://api.spotify.com/v1/tracks/0KCELNf5it4kL3LGwR80cj,https://api.spotify.com/v1/audio-analysis/0KCELNf5it4kL3LGwR80cj,320041.0,4.0,sad
Dil Darbadar,41,2021-02-11 23:22:20+00:00,2014,['Ankit Tiwari'],0.27,0.67,9.0,-6.306,0.0,0.0338,0.624,5.68e-05,0.099,0.538,86.879,audio_features,64uIY06wOtU9o8r3c1rx1x,spotify:track:64uIY06wOtU9o8r3c1rx1x,https://api.spotify.com/v1/tracks/64uIY06wOtU9o8r3c1rx1x,https://api.spotify.com/v1/audio-analysis/64uIY06wOtU9o8r3c1rx1x,311983.0,4.0,sad
Mujhe Peene Do,72,2021-02-15 03:53:51+00:00,2020,['Darshan Raval'],0.268,0.334,3.0,-8.877,0.0,0.0332,0.759,0.0,0.117,0.175,55.832,audio_features,3FbZoPzEaUBOD84l1FwFEH,spotify:track:3FbZoPzEaUBOD84l1FwFEH,https://api.spotify.com/v1/tracks/3FbZoPzEaUBOD84l1FwFEH,https://api.spotify.com/v1/audio-analysis/3FbZoPzEaUBOD84l1FwFEH,196071.0,4.0,sad
Kaisi Hogi,14,2021-02-19 04:11:34+00:00,2020,"['AP', 'INTRVRT']",0.521,0.475,9.0,-8.42,1.0,0.0284,0.359,5.84e-06,0.0484,0.309,95.009,audio_features,28FcTBcw1JSbmw2kHFFUPP,spotify:track:28FcTBcw1JSbmw2kHFFUPP,https://api.spotify.com/v1/tracks/28FcTBcw1JSbmw2kHFFUPP,https://api.spotify.com/v1/audio-analysis/28FcTBcw1JSbmw2kHFFUPP,266306.0,4.0,sad
