danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,song_emotion
0.66,0.606,-12.23,0.0348,0.455,5.02E-06,0.373,0.885,91.118,0
0.526,0.278,-14.456,0.0392,0.873,0.000762,0.111,0.649,150.16,0
0.822,0.687,-8.167,0.0421,0.0593,0,0.0609,0.816,106.47,0
0.501,0.802,-6.044,0.211,0.217,0,0.156,0.804,79.898,0
0.436,0.499,-12.909,0.0356,0.499,5.01E-05,0.308,0.551,103.104,0
0.624,0.535,-10.531,0.0376,0.642,5.31E-06,0.114,0.577,114.867,0
0.69,0.939,-6.441,0.0583,0.0102,0.0288,0.12,0.615,125.006,0
0.953,0.763,-7.042,0.0667,0.392,6.27E-06,0.0486,0.944,123.014,0
0.793,0.902,-1.994,0.0834,0.254,0.000924,0.0862,0.734,155.921,0
0.877,0.881,-3.713,0.0713,0.421,0.000345,0.12,0.874,123.024,0
0.693,0.891,-4.144,0.263,0.021,0,0.324,0.689,140.117,0
0.809,0.831,-4.043,0.06,0.0162,0.00276,0.0534,0.83,112.016,0
0.747,0.921,-3.851,0.0859,0.0956,0.000164,0.0367,0.671,129.945,0
0.594,0.757,-5.381,0.0504,0.606,0,0.251,0.597,127.894,0
0.843,0.768,-4.554,0.117,0.256,0,0.614,0.662,139.998,0
0.751,0.67,-4.587,0.267,0.0796,0.00018,0.0908,0.766,156.062,0
0.663,0.938,-2.894,0.0335,0.0102,9.01E-06,0.75,0.551,127.988,0
0.742,0.972,-2.598,0.15,0.102,3.29E-05,0.0563,0.766,126.049,0
0.788,0.716,-3.846,0.129,0.0288,0,0.107,0.885,127.061,0
0.829,0.852,-5.4,0.0477,0.00698,0.000278,0.055,0.912,131.989,0
0.712,0.776,-7.424,0.213,0.541,2.17E-06,0.0896,0.96,89.934,0
0.668,0.746,-7.592,0.0603,0.00335,0.00031,0.0773,0.485,119.696,0
0.751,0.54,-7.942,0.0753,0.103,0.000224,0.102,0.9,110.015,0
0.776,0.795,-5.454,0.0485,0.121,0,0.138,0.569,117.989,0
0.622,0.779,-5.799,0.037,0.102,0.000934,0.145,0.761,100.013,0
0.742,0.879,-4.274,0.0328,0.0696,7.17E-06,0.0981,0.936,133.946,0
0.79,0.848,-7.798,0.0508,0.364,0.00147,0.148,0.641,127.034,0
0.778,0.599,-4.758,0.032,0.0705,0,0.59,0.949,116.951,0
0.517,0.565,-10.184,0.0441,0.721,0.00689,0.0997,0.69,169.952,0
0.636,0.785,-6.876,0.0279,0.0262,0.00136,0.297,0.749,125.974,0
0.618,0.765,-5.492,0.0661,0.0111,0.000363,0.122,0.439,104.004,0
0.548,0.466,-7.083,0.0242,0.389,4.01E-05,0.125,0.202,100.066,0
0.847,0.768,-5.479,0.0335,0.432,0.000433,0.104,0.682,120.058,0
0.762,0.622,-5.568,0.0363,0.151,0,0.054,0.712,128.024,0
0.86,0.617,-5.072,0.109,0.169,3.90E-05,0.0798,0.716,96.029,0
0.879,0.716,-3.589,0.0895,0.259,5.03E-06,0.332,0.434,138.057,0
0.888,0.866,-3.477,0.177,0.161,0.00566,0.0551,0.95,141.951,0
0.789,0.707,-7.973,0.109,0.0237,0,0.177,0.605,97.015,0
0.737,0.843,-3.309,0.0591,0.0679,0,0.139,0.679,97.061,0
0.593,0.773,-5.591,0.0339,0.722,0,0.117,0.561,133.975,0
0.747,0.849,-5.916,0.0581,0.175,1.23E-06,0.126,0.671,113.034,0
0.566,0.862,-6.02,0.105,0.0246,0,0.103,0.455,147.974,0
0.746,0.376,-9.477,0.158,0.195,0,0.176,0.729,87.971,0
0.727,0.714,-4.494,0.0872,0.0209,0,0.153,0.618,164.003,0
0.895,0.423,-10.291,0.0621,0.0892,5.65E-06,0.241,0.656,120.051,0
0.695,0.717,-7.939,0.0686,0.257,0,0.0681,0.771,162.084,0
0.423,0.951,-1.726,0.118,0.0204,0.000369,0.331,0.768,78.78,0
0.71,0.907,-4.274,0.0817,0.39,4.91E-06,0.685,0.729,131.989,0
0.745,0.833,-7.59,0.068,0.427,0,0.115,0.534,114.959,0
0.501,0.362,-7.906,0.06,0.507,0,0.191,0.412,169.775,0
0.738,0.873,-5.659,0.107,0.075,0.0294,0.225,0.484,104.982,0
0.818,0.93,-2.982,0.247,0.33,0,0.658,0.831,113.988,0
0.971,0.785,-5.117,0.058,0.211,5.06E-05,0.0492,0.913,114.014,0
0.725,0.938,-3.62,0.188,0.186,0,0.334,0.938,129.931,0
0.52,0.484,-8.399,0.0327,0.228,0.00143,0.15,0.421,124.136,0
0.556,0.926,-6.375,0.329,0.196,0,0.0451,0.707,102.009,0
0.883,0.415,-7.726,0.108,0.219,6.45E-06,0.0861,0.475,92.027,0
0.811,0.921,-3.152,0.117,0.182,0,0.823,0.756,94.98,0
0.743,0.89,-5.146,0.17,0.0829,1.61E-06,0.0583,0.696,129.99,0
0.829,0.654,-6.26,0.0685,0.0942,5.01E-06,0.2,0.335,98.012,0
0.862,0.673,-6.686,0.0688,0.33,0.00856,0.0961,0.841,105.003,0
0.776,0.882,-2.864,0.0456,0.0653,0.000151,0.11,0.789,93.99,0
0.816,0.645,-5.87,0.214,0.147,1.76E-06,0.086,0.753,79.962,0
0.501,0.828,-2.495,0.114,0.053,0,0.135,0.483,84.659,0
0.571,0.9,-4.855,0.037,0.00502,0.00916,0.0952,0.414,91.985,0
0.923,0.854,-3.976,0.0912,0.0336,0,0.37,0.921,111.779,0
0.703,0.848,-11.002,0.0462,0.282,0.295,0.0454,0.921,144.899,0
0.719,0.955,-8.789,0.0349,0.0168,1.93E-06,0.138,0.913,135.92,0
0.781,0.888,-7.012,0.0801,0.403,2.35E-05,0.0783,0.821,99.996,0
0.716,0.974,-2.479,0.17,0.185,0.00148,0.333,0.889,81.02,0
0.666,0.927,-5.06,0.0739,0.111,0,0.573,0.756,102.761,0
0.544,0.516,-8.559,0.0341,0.973,0.295,0.12,0.408,111.276,0
0.624,0.849,-1.08,0.11,0.121,0,0.112,0.269,180.201,0
0.553,0.95,-6.158,0.105,0.00139,0.00839,0.252,0.511,123.045,0
0.77,0.963,-2.129,0.0804,0.11,0,0.153,0.858,97.998,0
0.692,0.685,-8.251,0.0463,0.545,0.0796,0.0962,0.429,103.946,0
0.82,0.618,-4.561,0.0488,0.0312,4.94E-05,0.0904,0.542,131.986,0
0.8,0.93,-6.396,0.0636,0.0148,3.16E-05,0.244,0.74,130.023,0
0.561,0.555,-5.111,0.0287,0.0307,0,0.195,0.535,101.902,0
0.451,0.922,-6.26,0.216,0.48,3.65E-05,0.0616,0.495,92.409,0
0.763,0.945,-6.298,0.17,0.441,4.44E-06,0.689,0.963,92.031,0
0.768,0.873,-3.213,0.103,0.287,1.76E-05,0.114,0.845,102.001,0
0.904,0.841,-5.553,0.0439,0.191,0,0.431,0.923,115.032,0
0.806,0.645,-11.422,0.153,0.174,0,0.0585,0.921,92.085,0
0.644,0.87,-4.816,0.0394,0.193,0,0.549,0.702,125.998,0
0.787,0.869,-2.965,0.0748,0.17,0,0.207,0.618,95.032,0
0.657,0.811,-3.253,0.184,0.0259,0,0.311,0.835,175.91,0
0.652,0.801,-6.237,0.0813,0.22,0,0.0715,0.74,81.058,0
0.765,0.899,-2.096,0.247,0.249,0.00108,0.0588,0.797,67.508,0
0.836,0.701,-10.905,0.082,0.109,2.69E-05,0.103,0.821,121.836,0
0.835,0.767,-5.181,0.0877,0.0716,0.000187,0.173,0.786,89.972,0
0.735,0.872,-3.053,0.0398,0.58,0,0.541,0.833,101.995,0
0.807,0.83,-5.76,0.117,0.334,2.40E-05,0.0896,0.939,110.975,0
0.587,0.637,-6.932,0.0354,0.695,0,0.145,0.696,89.952,0
0.626,0.561,-6.644,0.0304,0.0482,0,0.304,0.794,167.916,0
0.767,0.64,-6.626,0.152,0.096,4.39E-05,0.085,0.751,146.036,0
0.619,0.429,-7.867,0.028,0.738,1.35E-05,0.136,0.545,90.058,0
0.722,0.609,-7.218,0.0473,0.0233,0.000247,0.113,0.807,154.967,0
0.649,0.458,-7.632,0.0446,0.574,0,0.113,0.748,180.071,0
0.77,0.51,-5.469,0.192,0.137,0.000106,0.0346,0.533,188.067,0
0.558,0.694,-9.517,0.207,0.472,0,0.101,0.612,129.949,0
0.639,0.233,-12.47,0.0345,0.868,0,0.151,0.607,136.772,0
0.578,0.729,-9.814,0.0374,0.0313,0.251,0.124,0.729,159.984,0
0.572,0.942,-4.016,0.195,0.149,0,0.0403,0.828,195.758,0
0.656,0.774,-4.406,0.0861,0.0304,0.00105,0.0494,0.636,133.995,0
0.656,0.762,-6.328,0.0315,0.549,0,0.139,0.558,110.002,0
0.623,0.32,-13.621,0.0328,0.557,9.00E-05,0.0882,0.251,104.998,0
0.671,0.538,-10.052,0.0333,0.175,3.11E-05,0.0992,0.68,75.989,0
0.722,0.288,-10.767,0.0444,0.827,1.06E-05,0.12,0.502,119.899,0
0.565,0.527,-5.035,0.0252,0.148,2.30E-06,0.103,0.231,91.989,0
0.769,0.852,-3.107,0.154,0.16,0,0.261,0.963,129.982,0
0.756,0.858,-4.05,0.0584,0.0353,0.000253,0.067,0.764,101.992,0
0.539,0.551,-7.351,0.0361,0.651,0,0.124,0.556,75.899,0
0.693,0.797,-7.392,0.0704,0.343,0.00125,0.0673,0.706,90.997,0
0.765,0.908,-5.043,0.052,0.0605,3.23E-06,0.233,0.891,106.993,0
0.733,0.691,-9.539,0.0905,0.426,0,0.084,0.773,89.99,0
0.768,0.966,-3.87,0.121,0.0325,0.00389,0.741,0.443,115.012,0
0.662,0.916,-4.401,0.0895,0.137,0.00127,0.0965,0.62,94.981,0
0.599,0.505,-7.662,0.0393,0.47,0,0.165,0.479,121.768,0
0.46,0.444,-6.217,0.123,0.714,2.65E-05,0.0881,0.7,74.977,0
0.62,0.627,-6.187,0.0307,0.497,0,0.133,0.557,82.008,0
0.603,0.708,-7.047,0.0379,0.000173,3.36E-06,0.158,0.611,105.046,0
0.73,0.8,-6.763,0.0593,0.217,0.000108,0.0977,0.287,136.954,0
0.78,0.853,-4.063,0.0956,0.0291,0.00175,0.63,0.573,110.981,0
0.697,0.796,-3.685,0.0742,0.155,0,0.162,0.312,85.002,0
0.708,0.857,-5.028,0.0731,0.0194,0,0.72,0.592,122.025,0
0.766,0.618,-8.552,0.124,0.0187,0.000115,0.181,0.513,95.054,0
0.776,0.819,-8.236,0.0897,0.168,2.69E-06,0.0386,0.648,130.013,0
0.855,0.553,-6.52,0.0331,0.19,5.19E-06,0.0942,0.874,124.922,0
0.525,0.913,-3.617,0.4,0.152,0,0.118,0.606,86.452,0
0.712,0.719,-5.83,0.0774,0.152,7.25E-05,0.0589,0.493,82.05,0
0.706,0.674,-5.932,0.044,0.3,0,0.202,0.359,83.001,0
0.705,0.982,-3.376,0.0788,0.0212,3.18E-05,0.337,0.571,94.99,0
0.843,0.892,-4.371,0.0527,0.0512,1.13E-06,0.101,0.655,125.991,0
0.746,0.782,-6.192,0.0397,0.277,4.70E-06,0.108,0.665,98.976,0
0.714,0.807,-5.482,0.0944,0.0261,0.00096,0.058,0.721,98.086,0
0.641,0.374,-6.731,0.0284,0.723,1.64E-05,0.135,0.265,120.035,0
0.816,0.922,-2.963,0.149,0.178,0,0.373,0.887,95.006,0
0.708,0.893,-2.002,0.0549,0.0188,5.47E-05,0.471,0.753,100.031,0
0.771,0.805,-3.97,0.0604,0.158,0,0.332,0.355,94.998,0
0.574,0.738,-5.526,0.0958,0.0235,2.03E-06,0.0959,0.307,109.996,0
0.855,0.849,-4.472,0.0549,0.276,0,0.0302,0.699,126.028,0
0.765,0.89,-4.608,0.0824,0.502,0,0.0423,0.918,99.961,0
0.772,0.83,-3.981,0.0455,0.0357,0,0.0419,0.753,127.999,0
0.562,0.775,-5.951,0.275,0.241,0,0.284,0.884,89.979,0
0.431,0.472,-9.005,0.0387,0.441,0,0.206,0.361,84.718,0
0.486,0.382,-6.183,0.0286,0.613,8.56E-05,0.149,0.164,125.918,0
0.886,0.816,-5.368,0.059,0.185,0,0.0663,0.681,105.978,0
0.773,0.941,-2.292,0.0834,0.0949,0.0103,0.0916,0.863,130.05,0
0.85,0.984,-0.649,0.166,0.0872,0,0.0535,0.814,100.028,0
0.873,0.963,-1.376,0.104,0.172,0.000176,0.0233,0.906,94.004,0
0.943,0.465,-6.091,0.0952,0.588,0,0.191,0.768,105.95,0
0.957,0.579,-7.257,0.0512,0.5,0,0.0737,0.856,103.981,0
0.846,0.786,-4.607,0.0519,0.131,0.000384,0.0835,0.523,106.023,0
0.766,0.809,-6.206,0.161,0.0227,0.000166,0.0796,0.803,91.987,0
0.848,0.809,-6.63,0.148,0.0707,0,0.27,0.839,111.977,0
0.349,0.596,-9.313,0.0364,0.177,5.29E-06,0.336,0.329,120.009,0
0.725,0.912,-3.665,0.0851,0.155,7.68E-05,0.107,0.674,104.054,0
0.739,0.644,-5.881,0.0503,0.103,0,0.189,0.315,94.996,0
0.435,0.658,-5.949,0.0368,0.699,0,0.125,0.524,77.17,0
0.77,0.963,-2.129,0.0804,0.11,0,0.153,0.858,97.998,0
0.722,0.867,-3.652,0.0904,0.121,0.0052,0.123,0.893,102.009,0
0.81,0.846,-4.451,0.0435,0.0454,9.14E-05,0.374,0.885,123.966,0
0.663,0.551,-8.272,0.109,0.236,3.57E-05,0.0923,0.601,113.314,0
0.71,0.801,-4.845,0.0896,0.0728,0,0.0744,0.845,145.102,0
0.598,0.887,-6.992,0.0802,0.0284,5.84E-06,0.166,0.704,159.977,0
0.574,0.738,-5.526,0.0958,0.0235,2.03E-06,0.0959,0.307,109.996,0
0.756,0.52,-8.642,0.0341,0.495,0,0.0901,0.684,119.92,0
0.844,0.772,-4.621,0.194,0.284,2.38E-06,0.368,0.336,100.008,0
0.713,0.662,-6.837,0.0778,0.185,0,0.285,0.539,101.992,0
0.771,0.659,-6.1,0.0674,0.216,0,0.102,0.587,92.008,0
0.83,0.858,-3.18,0.0554,0.134,1.72E-05,0.0567,0.949,119.974,0
