name,popularity,date_added,release_year,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_emotion
Kabira,73,2019-11-11 21:14:00+00:00,2013.0,"['Pritam', 'Tochi Raina', 'Rekha Bhardwaj']",0.59,0.555,2.0,-6.861,1.0,0.0271,0.481,0.0,0.192,0.191,84.027,audio_features,4bD9z9qa4qg9BhryvYWB7c,spotify:track:4bD9z9qa4qg9BhryvYWB7c,https://api.spotify.com/v1/tracks/4bD9z9qa4qg9BhryvYWB7c,https://api.spotify.com/v1/audio-analysis/4bD9z9qa4qg9BhryvYWB7c,223460.0,4.0,sad
Das Ki Kasoor,31,2022-08-25 16:26:15+00:00,2022.0,"['Rahul Sathu', 'Ikka']",0.712,0.545,0.0,-8.263,0.0,0.0658,0.521,0.0,0.122,0.545,136.083,audio_features,2FRbQ4h7EKZMFYle9gWb8W,spotify:track:2FRbQ4h7EKZMFYle9gWb8W,https://api.spotify.com/v1/tracks/2FRbQ4h7EKZMFYle9gWb8W,https://api.spotify.com/v1/audio-analysis/2FRbQ4h7EKZMFYle9gWb8W,208235.0,4.0,sad
Main Dhoondne Ko Zamaane Mein,67,2019-11-11 21:12:52+00:00,2014.0,['Arijit Singh'],0.329,0.45,2.0,-6.312,0.0,0.0405,0.594,0.0,0.13,0.284,80.095,audio_features,75p6BrziB5urmwPCeXl3y7,spotify:track:75p6BrziB5urmwPCeXl3y7,https://api.spotify.com/v1/tracks/75p6BrziB5urmwPCeXl3y7,https://api.spotify.com/v1/audio-analysis/75p6BrziB5urmwPCeXl3y7,262987.0,4.0,sad
Jiyein Kyun,65,2019-11-11 21:13:36+00:00,2011.0,"['Pritam', 'Papon']",0.393,0.609,4.0,-5.954,1.0,0.0415,0.0558,2.22e-06,0.107,0.347,71.377,audio_features,0up9rhm9qt2LW7cnoDFCMk,spotify:track:0up9rhm9qt2LW7cnoDFCMk,https://api.spotify.com/v1/tracks/0up9rhm9qt2LW7cnoDFCMk,https://api.spotify.com/v1/audio-analysis/0up9rhm9qt2LW7cnoDFCMk,264963.0,4.0,sad
Baaton Ko Teri,59,2019-11-11 21:12:30+00:00,2015.0,['Arijit Singh'],0.524,0.575,0.0,-6.571,0.0,0.0294,0.397,1.8e-06,0.269,0.206,89.915,audio_features,23CkVQ84EestqfkEy4fhOQ,spotify:track:23CkVQ84EestqfkEy4fhOQ,https://api.spotify.com/v1/tracks/23CkVQ84EestqfkEy4fhOQ,https://api.spotify.com/v1/audio-analysis/23CkVQ84EestqfkEy4fhOQ,280250.0,4.0,sad
Tu Bhoola Jise,40,2019-11-11 21:14:11+00:00,2015.0,"['Amaal Mallik', 'KK']",0.472,0.554,2.0,-8.12,1.0,0.0325,0.493,0.0181,0.161,0.288,135.882,audio_features,2OwIrzgIzxK2dxn924zD2K,spotify:track:2OwIrzgIzxK2dxn924zD2K,https://api.spotify.com/v1/tracks/2OwIrzgIzxK2dxn924zD2K,https://api.spotify.com/v1/audio-analysis/2OwIrzgIzxK2dxn924zD2K,271714.0,4.0,sad
Aahatein,45,2019-11-11 21:14:20+00:00,2011.0,"['Karthik', 'Shilpa Rao']",0.609,0.288,1.0,-13.371,1.0,0.0251,0.311,0.000145,0.109,0.301,81.999,audio_features,3dQjCswDedsHNxdaOhcfiz,spotify:track:3dQjCswDedsHNxdaOhcfiz,https://api.spotify.com/v1/tracks/3dQjCswDedsHNxdaOhcfiz,https://api.spotify.com/v1/audio-analysis/3dQjCswDedsHNxdaOhcfiz,267145.0,4.0,sad
Zinda,56,2019-11-11 21:15:16+00:00,2013.0,['Amit Trivedi'],0.493,0.418,9.0,-9.693,1.0,0.0261,0.436,0.102,0.104,0.22,89.982,audio_features,1gEHNfJRSXpDVaEicwRRfe,spotify:track:1gEHNfJRSXpDVaEicwRRfe,https://api.spotify.com/v1/tracks/1gEHNfJRSXpDVaEicwRRfe,https://api.spotify.com/v1/audio-analysis/1gEHNfJRSXpDVaEicwRRfe,241962.0,4.0,sad
Maula,54,2019-11-11 21:16:08+00:00,2012.0,['Ali Azmat'],0.634,0.652,4.0,-3.743,1.0,0.0418,0.149,0.000271,0.07,0.314,144.019,audio_features,6815JZ7XTMyTDIP6DwlAKF,spotify:track:6815JZ7XTMyTDIP6DwlAKF,https://api.spotify.com/v1/tracks/6815JZ7XTMyTDIP6DwlAKF,https://api.spotify.com/v1/audio-analysis/6815JZ7XTMyTDIP6DwlAKF,308196.0,4.0,sad
Jag Soona Soona Lage,58,2019-11-11 21:17:14+00:00,2007.0,"['Rahat Fateh Ali Khan', 'Richa Sharma']",0.563,0.71,7.0,-6.212,1.0,0.0592,0.0663,0.0,0.105,0.262,133.873,audio_features,2sVzO3L0fdOMVe8wVlM0IE,spotify:track:2sVzO3L0fdOMVe8wVlM0IE,https://api.spotify.com/v1/tracks/2sVzO3L0fdOMVe8wVlM0IE,https://api.spotify.com/v1/audio-analysis/2sVzO3L0fdOMVe8wVlM0IE,329429.0,4.0,sad
Galliyan,0,2019-11-11 21:18:30+00:00,2017.0,['Ankit Tiwari'],0.442,0.716,1.0,-6.3,1.0,0.047,0.468,5.81e-05,0.452,0.387,89.869,audio_features,4ydGb4dUaW3SUwtfs4TwWR,spotify:track:4ydGb4dUaW3SUwtfs4TwWR,https://api.spotify.com/v1/tracks/4ydGb4dUaW3SUwtfs4TwWR,https://api.spotify.com/v1/audio-analysis/4ydGb4dUaW3SUwtfs4TwWR,341081.0,4.0,sad
Dooriyan,0,2019-11-11 21:17:33+00:00,2009.0,"['Mohit Chauhan', 'Pritam']",0.52,0.716,7.0,-6.582,0.0,0.051,0.612,0.0,0.11,0.593,122.977,audio_features,5doYtCoJ8KpfkFczP3F2ad,spotify:track:5doYtCoJ8KpfkFczP3F2ad,https://api.spotify.com/v1/tracks/5doYtCoJ8KpfkFczP3F2ad,https://api.spotify.com/v1/audio-analysis/5doYtCoJ8KpfkFczP3F2ad,337360.0,4.0,sad
"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")",65,2019-11-11 21:18:51+00:00,2016.0,"['Pritam', 'Arijit Singh']",0.495,0.654,3.0,-6.639,0.0,0.0679,0.713,0.0,0.165,0.35,123.896,audio_features,79jYT83v4bMOWEgwjQxSx2,spotify:track:79jYT83v4bMOWEgwjQxSx2,https://api.spotify.com/v1/tracks/79jYT83v4bMOWEgwjQxSx2,https://api.spotify.com/v1/audio-analysis/79jYT83v4bMOWEgwjQxSx2,269032.0,4.0,sad
Tujhe Bhula Diya,69,2019-11-11 21:19:01+00:00,2010.0,"['Mohit Chauhan', 'Shekhar Ravjiani', 'Shruti Pathak']",0.644,0.423,11.0,-8.702,0.0,0.0324,0.464,0.0,0.11,0.509,131.903,audio_features,4r8JqkhpTb5tzSKKHnVJIJ,spotify:track:4r8JqkhpTb5tzSKKHnVJIJ,https://api.spotify.com/v1/tracks/4r8JqkhpTb5tzSKKHnVJIJ,https://api.spotify.com/v1/audio-analysis/4r8JqkhpTb5tzSKKHnVJIJ,279429.0,4.0,sad
